x, y
8.363970588235293, 0.014150943396226415
16.985294117647058, 0.09905660377358491
25.34926470588235, 0.5377358490566038
33.970588235294116, 1.1320754716981132
42.463235294117645, 2.009433962264151
50.827205882352935, 3.0849056603773586
59.4485294117647, 3.9339622641509435
68.06985294117646, 4.3584905660377355
76.43382352941175, 4.5424528301886795
85.05514705882352, 4.514150943396227
93.41911764705881, 4.429245283018868
102.04044117647058, 4.273584905660377
110.40441176470587, 4.160377358490567
119.02573529411764, 4.132075471698113
127.51838235294116, 4.1745283018867925
136.0110294117647, 4.1745283018867925
144.50367647058823, 4.1745283018867925
