time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
0.69,2.310207,0,4.011403,1.22173,5.532753,0,0,-0.0002935926
0.7,2.377716,0,4.128742,1.22173,5.532821,0,0,-0.0003021776
0.71,2.446198,0,4.247779,1.22173,5.532889,0,0,-0.0003108863
0.72,2.515654,0,4.368515,1.22173,5.532957,0,0,-0.0003197188
0.73,2.586084,0,4.490949,1.22173,5.533025,0,0,-0.0003286752
0.74,2.657487,0,4.615082,1.22173,5.533093,0,0,-0.0003377553
0.75,2.729865,0,4.740914,1.22173,5.533161,0,0,-0.0003469591
0.76,2.803216,0,4.868445,1.22173,5.533229,0,0,-0.0003562868
0.77,2.877542,0,4.997676,1.22173,5.533298,0,0,-0.0003657381
0.78,2.952841,0,5.128607,1.22173,5.533365,0,0,-0.0003753132
0.79,3.029114,0,5.261239,1.22173,5.533433,0,0,-0.000385012
0.8,3.106362,0,5.395571,1.22173,5.533501,0,0,-0.0003948344
0.81,3.184583,0,5.531603,1.22173,5.533569,0,0,-0.0004047806
0.82,3.263779,0,5.669337,1.22173,5.533637,0,0,-0.0004148504
0.83,3.343949,0,5.808772,1.22173,5.533705,0,0,-0.0004250439
0.84,3.425093,0,5.949909,1.22173,5.533773,0,0,-0.000435361
0.85,3.507212,0,6.092747,1.22173,5.533841,0,0,-0.0004458017
0.86,3.590305,0,6.237288,1.22173,5.533909,0,0,-0.000456366
0.87,3.674372,0,6.383531,1.22173,5.533977,0,0,-0.0004670539
0.88,3.759413,0,6.531477,1.22173,5.534044,0,0,-0.0004778653
0.89,3.84543,0,6.681126,1.22173,5.534112,0,0,-0.0004888003
0.9,3.93242,0,6.832478,1.22173,5.53418,0,0,-0.0004998589
0.91,4.020385,0,6.985534,1.22173,5.534248,0,0,-0.0005110409
0.92,4.109325,0,7.140293,1.22173,5.534316,0,0,-0.0005223463
0.93,4.199239,0,7.296757,1.22173,5.534383,0,0,-0.0005337752
0.94,4.290128,0,7.454925,1.22173,5.534451,0,0,-0.0005453275
0.95,4.381991,0,7.614798,1.22173,5.534519,0,0,-0.0005570033
0.96,4.47483,0,7.776376,1.22173,5.534586,0,0,-0.0005688024
0.97,4.568643,0,7.939659,1.22173,5.534654,0,0,-0.0005807248
0.98,4.66343,0,8.104647,1.22173,5.534722,0,0,-0.0005927705
0.99,4.759192,0,8.271341,1.22173,5.53479,0,0,-0.0006049396
1,4.85593,0,8.439742,1.22173,5.534857,0,0,-0.0006172319
1.01,4.953642,0,8.609848,1.22173,5.534925,0,0,-0.0006296474
1.02,5.052329,0,8.781662,1.22173,5.534992,0,0,-0.0006421861
1.03,5.15199,0,8.955182,1.22173,5.53506,0,0,-0.0006548481
