time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized
1.0187,0.02508549,0,9.647214,1.532833,5.534983,0,0,-0.0003437558,0.9999999
1.0354,0.02843639,0,9.966918,1.530535,5.535097,0,0,-0.0003505824,0.9999999
1.0521,0.0321064,0,10.29186,1.528182,5.535209,0,0,-0.0003571017,0.9999999
1.0688,0.03611435,0,10.62203,1.525774,5.535322,0,0,-0.0003632983,0.9999999
1.0855,0.04047953,0,10.95743,1.523311,5.535435,0,0,-0.0003691518,0.9999999
1.1022,0.04522166,0,11.29808,1.520794,5.535547,0,0,-0.0003746398,0.9999999
1.1189,0.0503609,0,11.64395,1.518225,5.53566,0,0,-0.0003797477,0.9999999
1.1356,0.05591784,0,11.99507,1.515604,5.535773,0,0,-0.0003844545,0.9999999
1.1523,0.06191353,0,12.35142,1.512932,5.535885,0,0,-0.000388739,0.9999999
1.169,0.06836939,0,12.713,1.510209,5.535998,0,0,-0.000392587,0.9999999
1.1857,0.07530728,0,13.07982,1.507437,5.53611,0,0,-0.0003959766,0.9999999
1.2024,0.08274947,0,13.45188,1.504616,5.536222,0,0,-0.0003988885,0.9999999
1.2191,0.09071863,0,13.82918,1.501747,5.536335,0,0,-0.0004013069,0.9999999
1.2358,0.09923781,0,14.21171,1.498831,5.536447,0,0,-0.0004032121,0.9999999
1.2525,0.1083305,0,14.59947,1.495868,5.53656,0,0,-0.0004045838,0.9999999
1.2692,0.1180204,0,14.99248,1.49286,5.536672,0,0,-0.0004054073,0.9999999
1.2859,0.1283321,0,15.39071,1.489821,5.536784,0,0,-0.0003061591,0.9999999
1.3026,0.1392903,0,15.79418,1.486822,5.536896,0,0,-0.0002879449,0.9999999
1.3193,0.1509197,0,16.20289,1.483869,5.537008,0,0,-0.0002694276,0.9999999
1.336,0.163244,0,16.61683,1.480962,5.53712,0,0,-0.0002506186,0.9999999
1.3527,0.1762868,0,17.036,1.478099,5.537232,0,0,-0.0002315301,1
1.3694,0.1900715,0,17.4604,1.47528,5.537344,0,0,-0.000212169,1
1.3861,0.2046209,0,17.89004,1.472505,5.537457,0,0,-0.0001925493,1
1.4028,0.2199575,0,18.3249,1.469773,5.537568,0,0,-0.0001726801,1
1.4195,0.2361036,0,18.765,1.467083,5.53768,0,0,-0.00015257,1
1.4362,0.253081,0,19.21032,1.464434,5.537792,0,0,-0.0001322311,1
1.4529,0.2709114,0,19.66087,1.461826,5.537903,0,0,-0.0001116728,1
1.4696,0.2896159,0,20.11665,1.459258,5.538015,0,0,-9.090412e-05,1
1.4863,0.3092155,0,20.57765,1.45673,5.538127,0,0,-6.993568e-05,1
1.503,0.3297307,0,21.04388,1.454241,5.538239,0,0,-4.877745e-05,1
1.5197,0.351182,0,21.51534,1.45179,5.53835,0,0,-2.743675e-05,1
1.5364,0.3735893,0,21.99202,1.449377,5.538461,0,0,-5.926033e-06,1
1.5531,0.3969723,0,22.47392,1.447001,5.538573,0,0,1.57473e-05,1
1.5698,0.4213504,0,22.96104,1.444662,5.538684,0,0,3.757473e-05,1
1.5865,0.4467428,0,23.45339,1.442359,5.538796,0,0,5.954514e-05,1
1.6032,0.4731683,0,23.95095,1.440092,5.538908,0,0,8.16513e-05,1
1.6199,0.5006455,0,24.45374,1.437859,5.539019,0,0,0.0001038843,1
1.6366,0.5291926,0,24.96174,1.435661,5.53913,0,0,0.0001262342,1
1.6533,0.5588277,0,25.47496,1.433496,5.539241,0,0,0.0001486934,1
1.67,0.5895686,0,25.99339,1.431366,5.539352,0,0,0.0001712542,1
1.6867,0.6214327,0,26.51705,1.429268,5.539464,0,0,0.0001939059,1
