time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized
0.9352,0.01090746,0,6.436611,1.543465,5.534419,0,0,-6.985883e-05,0.8639749
0.9519,0.01266893,0,6.669158,1.541462,5.534532,0,0,-6.886343e-05,0.8639787
0.9686,0.01463195,0,6.905852,1.539399,5.534645,0,0,-6.788842e-05,0.8639826
0.9853,0.01681077,0,7.146693,1.537275,5.534758,0,0,-6.693257e-05,0.8639865
1.002,0.01922003,0,7.391682,1.535094,5.534871,0,0,-6.599192e-05,0.8639905
1.0187,0.02187483,0,7.64082,1.532854,5.534983,0,0,-6.507074e-05,0.8639946
1.0354,0.02479062,0,7.894107,1.530557,5.535097,0,0,-6.416684e-05,0.8639987
1.0521,0.02798328,0,8.151544,1.528204,5.535209,0,0,-6.327772e-05,0.8640029
1.0688,0.03146908,0,8.41313,1.525796,5.535322,0,0,-6.2406e-05,0.8640072
1.0855,0.03526464,0,8.678867,1.523333,5.535435,0,0,-6.15512e-05,0.8640116
1.1022,0.03938701,0,8.948755,1.520817,5.535547,0,0,-6.070926e-05,0.864016
1.1189,0.04385358,0,9.222795,1.518248,5.53566,0,0,-5.988431e-05,0.8640205
1.1356,0.0486821,0,9.500985,1.515627,5.535773,0,0,-5.907434e-05,0.864025
1.1523,0.05389072,0,9.783328,1.512955,5.535885,0,0,-5.827643e-05,0.8640296
1.169,0.05949789,0,10.06982,1.510233,5.535998,0,0,-5.749488e-05,0.8640343
1.1857,0.06552246,0,10.36047,1.507461,5.53611,0,0,-5.672654e-05,0.8640391
1.2024,0.07198361,0,10.65527,1.50464,5.536222,0,0,-5.597045e-05,0.8640439
1.2191,0.07890084,0,10.95422,1.501771,5.536335,0,0,-5.522848e-05,0.8640488
1.2358,0.086294,0,11.25732,1.498855,5.536447,0,0,-5.44999e-05,0.8640537
1.2525,0.09418327,0,11.56457,1.495892,5.53656,0,0,-5.378187e-05,0.8640587
1.2692,0.1025892,0,11.87597,1.492883,5.536672,0,0,-5.307776e-05,0.8640639
1.2859,0.1115326,0,12.19153,1.489845,5.536784,0,0,4.989404e-05,0.864069
1.3026,0.1210351,0,12.51123,1.486844,5.536896,0,0,4.925107e-05,0.8640742
1.3193,0.1311174,0,12.83508,1.48389,5.537008,0,0,4.861089e-05,0.8640795
1.336,0.1418001,0,13.16309,1.480982,5.53712,0,0,4.797321e-05,0.8640849
1.3527,0.1531032,0,13.49524,1.478118,5.537232,0,0,4.733651e-05,0.8640903
1.3694,0.1650466,0,13.83153,1.475298,5.537344,0,0,4.670514e-05,0.8640958
1.3861,0.1776498,0,14.17198,1.472522,5.537457,0,0,4.607603e-05,0.8641014
1.4028,0.190932,0,14.51657,1.469789,5.537568,0,0,4.545038e-05,0.864107
1.4195,0.2049121,0,14.8653,1.467098,5.53768,0,0,4.483026e-05,0.8641127
1.4362,0.2196088,0,15.21818,1.464448,5.537792,0,0,4.421388e-05,0.8641185
1.4529,0.2350405,0,15.57521,1.46184,5.537903,0,0,4.360204e-05,0.8641243
1.4696,0.2512251,0,15.93637,1.459271,5.538015,0,0,4.29958e-05,0.8641302
1.4863,0.2681806,0,16.30168,1.456742,5.538127,0,0,4.239446e-05,0.8641362
1.503,0.2859244,0,16.67113,1.454252,5.538239,0,0,4.179762e-05,0.8641422
1.5197,0.3044738,0,17.04472,1.451801,5.53835,0,0,4.120799e-05,0.8641483
1.5364,0.3238458,0,17.42245,1.449387,5.538461,0,0,4.062248e-05,0.8641545
1.5531,0.3440571,0,17.80432,1.44701,5.538573,0,0,4.004303e-05,0.8641607
1.5698,0.3651242,0,18.19033,1.444671,5.538684,0,0,3.947045e-05,0.864167
1.5865,0.3870634,0,18.58047,1.442367,5.538796,0,0,3.890283e-05,0.8641734
1.6032,0.4098906,0,18.97475,1.440099,5.538908,0,0,3.834174e-05,0.8641798
1.6199,0.4336215,0,19.37317,1.437865,5.539019,0,0,3.778713e-05,0.8641863
1.6366,0.4582717,0,19.77572,1.435666,5.53913,0,0,3.723814e-05,0.8641929
1.6533,0.4838565,0,20.1824,1.433502,5.539241,0,0,3.669525e-05,0.8641996
1.67,0.5103908,0,20.59322,1.43137,5.539352,0,0,3.615993e-05,0.8642063
1.6867,0.5378894,0,21.00816,1.429271,5.539464,0,0,3.562925e-05,0.864213
1.7034,0.5663669,0,21.42724,1.427205,5.539575,0,0,3.51057e-05,0.8642199
1.7201,0.5958378,0,21.85045,1.425171,5.539685,0,0,3.458916e-05,0.8642268
1.7368,0.6263161,0,22.27779,1.423168,5.539796,0,0,3.407778e-05,0.8642338
1.7535,0.6578156,0,22.70925,1.421196,5.539907,0,0,3.357365e-05,0.8642408
1.7702,0.6903503,0,23.14484,1.419254,5.540019,0,0,3.307597e-05,0.864248
1.7869,0.7239335,0,23.58456,1.417342,5.540129,0,0,3.258371e-05,0.8642551
1.8036,0.7585785,0,24.0284,1.41546,5.54024,0,0,3.209841e-05,0.8642624
1.8203,0.7942985,0,24.47637,1.413606,5.54035,0,0,3.161993e-05,0.8642697
1.837,0.8311064,0,24.92846,1.411782,5.540461,0,0,3.11467e-05,0.8642771
1.8537,0.8690147,0,25.38468,1.409985,5.540572,0,0,3.068022e-05,0.8642845
1.8704,0.9080361,0,25.84501,1.408216,5.540683,0,0,3.022069e-05,0.864292
1.8871,0.9481828,0,26.30947,1.406475,5.540793,0,0,2.976576e-05,0.8642996
1.9038,0.9894671,0,26.77805,1.40476,5.540904,0,0,2.931825e-05,0.8643073
1.9205,1.031901,0,27.25075,1.403072,5.541014,0,0,2.887669e-05,0.864315
1.9372,1.075496,0,27.72756,1.40141,5.541125,0,0,2.844034e-05,0.8643228
1.9539,1.120263,0,28.2085,1.399773,5.541235,0,0,2.801081e-05,0.8643306
1.9706,1.166215,0,28.69355,1.398162,5.541345,0,0,2.758743e-05,0.8643385
1.9873,1.213362,0,29.18271,1.396575,5.541456,0,0,2.716913e-05,0.8643465
2.004,1.261716,0,29.67599,1.395013,5.541566,0,0,2.675724e-05,0.8643546
2.0207,1.311288,0,30.17339,1.393476,5.541676,0,0,2.635155e-05,0.8643627
2.0374,1.362087,0,30.6749,1.391961,5.541787,0,0,2.595036e-05,0.8643709
2.0541,1.414125,0,31.18052,1.390471,5.541896,0,0,2.555607e-05,0.8643791
2.0708,1.467412,0,31.69026,1.389003,5.542006,0,0,2.516702e-05,0.8643875
2.0875,1.521959,0,32.20411,1.387558,5.542117,0,0,2.478299e-05,0.8643958
2.1042,1.577775,0,32.72207,1.386135,5.542227,0,0,2.440525e-05,0.8644043
2.1209,1.634871,0,33.24414,1.384734,5.542336,0,0,2.403284e-05,0.8644128
2.1376,1.693256,0,33.77032,1.383354,5.542447,0,0,2.366537e-05,0.8644214
2.1543,1.752939,0,34.30061,1.381996,5.542556,0,0,2.330369e-05,0.86443
2.171,1.813932,0,34.835,1.380659,5.542666,0,0,2.294737e-05,0.8644387
2.1877,1.876242,0,35.3735,1.379343,5.542776,0,0,2.259546e-05,0.8644475
2.2044,1.939879,0,35.91611,1.378047,5.542885,0,0,2.224972e-05,0.8644564
2.2211,2.004852,0,36.46283,1.37677,5.542995,0,0,2.190846e-05,0.8644653
2.2378,2.071171,0,37.01366,1.375514,5.543105,0,0,2.157204e-05,0.8644743
2.2545,2.138843,0,37.56859,1.374277,5.543214,0,0,2.12412e-05,0.8644833
2.2712,2.207878,0,38.12762,1.373059,5.543324,0,0,2.091492e-05,0.8644924
2.2879,2.278284,0,38.69076,1.37186,5.543434,0,0,2.059338e-05,0.8645016
2.3046,2.350069,0,39.258,1.370679,5.543543,0,0,2.027692e-05,0.8645108
2.3213,2.423243,0,39.82935,1.369517,5.543652,0,0,1.996505e-05,0.8645202
2.338,2.497812,0,40.40479,1.368372,5.543761,0,0,1.965743e-05,0.8645296
2.3547,2.573786,0,40.98434,1.367245,5.54387,0,0,1.935519e-05,0.864539
2.3714,2.651171,0,41.568,1.366136,5.54398,0,0,1.905676e-05,0.8645485
2.3881,2.729977,0,42.15575,1.365043,5.544089,0,0,1.876292e-05,0.8645581
2.4048,2.81021,0,42.7476,1.363968,5.544199,0,0,1.847395e-05,0.8645678
2.4215,2.891878,0,43.34356,1.362909,5.544307,0,0,1.818883e-05,0.8645775
2.4382,2.974989,0,43.94361,1.361866,5.544416,0,0,1.790821e-05,0.8645872
2.4549,3.05955,0,44.54777,1.36084,5.544526,0,0,1.763198e-05,0.8645971
2.4716,3.145568,0,45.15602,1.359829,5.544634,0,0,1.735964e-05,0.864607
2.4883,3.233051,0,45.76837,1.358834,5.544743,0,0,1.709134e-05,0.864617
2.505,3.322005,0,46.38482,1.357854,5.544852,0,0,1.682768e-05,0.864627
2.5217,3.412437,0,47.00537,1.35689,5.544961,0,0,1.656724e-05,0.8646371
2.5384,3.504355,0,47.63002,1.35594,5.54507,0,0,1.63111e-05,0.8646473
2.5551,3.597765,0,48.25877,1.355005,5.545178,0,0,1.605915e-05,0.8646575
2.5718,3.692673,0,48.89161,1.354084,5.545287,0,0,1.581047e-05,0.8646678
2.5885,3.789086,0,49.52855,1.353178,5.545396,0,0,1.556597e-05,0.8646782
2.6052,3.887011,0,50.16959,1.352286,5.545505,0,0,1.532523e-05,0.8646887
2.6219,3.986454,0,50.81472,1.351407,5.545613,0,0,1.508781e-05,0.8646992
2.6386,4.087421,0,51.46395,1.350542,5.545722,0,0,1.485415e-05,0.8647097
