time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
0.64,0.0001129805,0,3.800512,1.567731,5.532412,0,0,-0.0001509224
0.65,0.0001535005,0,3.920406,1.567285,5.53248,0,0,-0.0001559302
0.66,0.000203588,0,4.042168,1.566811,5.532548,0,0,-0.0001609949
0.67,0.0002645836,0,4.165799,1.566307,5.532617,0,0,-0.000166112
0.68,0.0003379097,0,4.291298,1.565776,5.532685,0,0,-0.000171277
0.69,0.0004250694,0,4.418666,1.565216,5.532753,0,0,-0.0001764859
0.7,0.0005276463,0,4.547903,1.564629,5.532821,0,0,-0.000181734
0.71,0.0006473031,0,4.67901,1.564014,5.532889,0,0,-0.0001870168
0.72,0.0007857817,0,4.811986,1.563372,5.532957,0,0,-0.0001923304
0.73,0.0009449017,0,4.946833,1.562703,5.533025,0,0,-0.00019767
0.74,0.00112656,0,5.083549,1.562008,5.533093,0,0,-0.0002030313
0.75,0.001332732,0,5.222136,1.561285,5.533161,0,0,-0.0002084101
0.76,0.001565467,0,5.362594,1.560537,5.533229,0,0,-0.0002138018
0.77,0.00182689,0,5.504923,1.559762,5.533298,0,0,-0.000219202
0.78,0.002119203,0,5.649123,1.558962,5.533365,0,0,-0.0002246067
0.79,0.002444679,0,5.795194,1.558137,5.533433,0,0,-0.0002300113
0.8,0.002805666,0,5.943138,1.557286,5.533501,0,0,-0.0002354111
0.81,0.003204586,0,6.092953,1.55641,5.533569,0,0,-0.0002408026
0.82,0.003643932,0,6.244641,1.555509,5.533637,0,0,-0.0002461806
0.83,0.004126268,0,6.398201,1.554584,5.533705,0,0,-0.0002515411
0.84,0.004654231,0,6.553634,1.553634,5.533773,0,0,-0.0002568799
0.85,0.005230526,0,6.71094,1.55266,5.533841,0,0,-0.0002621923
0.86,0.005857929,0,6.870119,1.551662,5.533909,0,0,-0.0002674742
0.87,0.006539286,0,7.031171,1.550641,5.533977,0,0,-0.0002727215
0.88,0.007277509,0,7.194098,1.549596,5.534044,0,0,-0.0002779295
0.89,0.008075582,0,7.358898,1.548528,5.534112,0,0,-0.0002830938
0.9,0.008936552,0,7.525572,1.547437,5.53418,0,0,-0.0002882109
0.91,0.009863536,0,7.69412,1.546323,5.534248,0,0,-0.0002932756
0.92,0.01085971,0,7.864543,1.545186,5.534316,0,0,-0.0002982837
0.93,0.01192834,0,8.036841,1.544027,5.534383,0,0,-0.0003032316
0.94,0.01307272,0,8.211014,1.542846,5.534451,0,0,-0.0003081144
0.95,0.01429623,0,8.387061,1.541643,5.534519,0,0,-0.0003129278
0.96,0.01560232,0,8.564984,1.540418,5.534586,0,0,-0.0003176682
0.97,0.01699448,0,8.744783,1.539171,5.534654,0,0,-0.0003223307
0.98,0.0184763,0,8.926457,1.537903,5.534722,0,0,-0.0003269111
0.99,0.02005139,0,9.110007,1.536614,5.53479,0,0,-0.0003314058
1,0.02172345,0,9.295433,1.535304,5.534857,0,0,-0.0003358099
1.01,0.02349623,0,9.482735,1.533973,5.534925,0,0,-0.000340119
1.02,0.02537355,0,9.671913,1.532622,5.534992,0,0,-0.00034433
1.03,0.02735928,0,9.862968,1.53125,5.53506,0,0,-0.0003484377
1.04,0.02945735,0,10.0559,1.529858,5.535128,0,0,-0.0003524381
1.05,0.03167177,0,10.25071,1.528446,5.535195,0,0,-0.0003563275
1.06,0.03400656,0,10.44739,1.527014,5.535263,0,0,-0.0003601013
1.07,0.03646585,0,10.64595,1.525562,5.53533,0,0,-0.0003637552
1.08,0.03905381,0,10.84639,1.524091,5.535398,0,0,-0.0003672857
1.09,0.04177466,0,11.04871,1.522601,5.535465,0,0,-0.0003706882
1.1,0.04463268,0,11.2529,1.521091,5.535532,0,0,-0.0003739582
1.11,0.0476322,0,11.45897,1.519563,5.5356,0,0,-0.0003770928
1.12,0.05077763,0,11.66692,1.518015,5.535667,0,0,-0.0003800868
1.13,0.0540734,0,11.87674,1.516449,5.535735,0,0,-0.0003829364
1.14,0.05752403,0,12.08845,1.514865,5.535802,0,0,-0.0003856379
1.15,0.06113406,0,12.30203,1.513263,5.53587,0,0,-0.0003881866
1.16,0.06490811,0,12.51748,1.511642,5.535937,0,0,-0.0003905789
1.17,0.06885085,0,12.73482,1.510004,5.536005,0,0,-0.000392811
1.18,0.07296698,0,12.95403,1.508347,5.536072,0,0,-0.0003948783
1.19,0.07726128,0,13.17512,1.506674,5.536139,0,0,-0.0003967767
1.2,0.08173857,0,13.39809,1.504982,5.536206,0,0,-0.0003985031
1.21,0.08640373,0,13.62293,1.503274,5.536274,0,0,-0.0004000531
1.22,0.09126166,0,13.84966,1.501548,5.536341,0,0,-0.0004014219
1.23,0.09631737,0,14.07826,1.499806,5.536408,0,0,-0.0004026069
1.24,0.1015759,0,14.30873,1.498046,5.536476,0,0,-0.0004036032
1.25,0.1070422,0,14.54109,1.49627,5.536543,0,0,-0.0004044069
1.26,0.1127215,0,14.77532,1.494478,5.53661,0,0,-0.0004050149
1.27,0.118619,0,15.01143,1.492669,5.536677,0,0,-0.0004054224
1.28,0.1247398,0,15.24942,1.490844,5.536745,0,0,-0.0004056256
1.29,0.1310893,0,15.48928,1.489003,5.536812,0,0,-0.0004056216
1.3,0.1376728,0,15.73102,1.487146,5.536879,0,0,-0.000405405
1.31,0.1444956,0,15.97464,1.485274,5.536946,0,0,-0.0004049729
1.32,0.151563,0,16.22013,1.483386,5.537013,0,0,-0.0004043219
1.33,0.1588807,0,16.4675,1.481482,5.53708,0,0,-0.0004034475
1.34,0.1664541,0,16.71675,1.479563,5.537147,0,0,-0.0004023451
1.35,0.1742887,0,16.96787,1.477629,5.537214,0,0,-0.0004010129
1.36,0.1823901,0,17.22087,1.47568,5.537282,0,0,-0.0003994459
1.37,0.190764,0,17.47574,1.473716,5.537348,0,0,-0.0003976396
1.38,0.1994161,0,17.73249,1.471737,5.537416,0,0,-0.0003955922
1.39,0.208352,0,17.99111,1.469744,5.537482,0,0,-0.0003932982
1.4,0.2175775,0,18.25161,1.467736,5.537549,0,0,-0.0003907547
1.41,0.2270985,0,18.51399,1.465714,5.537616,0,0,-0.0003879581
1.42,0.2369208,0,18.77823,1.463678,5.537683,0,0,-0.0003849046
1.43,0.2470503,0,19.04436,1.461628,5.53775,0,0,-0.0003815897
1.44,0.2574929,0,19.31235,1.459563,5.537817,0,0,-0.0003780116
1.45,0.2682546,0,19.58222,1.457485,5.537884,0,0,-0.0003741647
1.46,0.2793415,0,19.85396,1.455394,5.537951,0,0,-0.0003700459
1.47,0.2907595,0,20.12758,1.453288,5.538018,0,0,-0.000365653
1.48,0.3025149,0,20.40306,1.45117,5.538085,0,0,-0.0003609805
1.49,0.3146137,0,20.68042,1.449038,5.538152,0,0,-0.0003560253
1.5,0.3270621,0,20.95965,1.446893,5.538218,0,0,-0.0003507849
1.51,0.3398664,0,21.24075,1.444734,5.538285,0,0,-0.0003452547
1.52,0.3530328,0,21.52373,1.442563,5.538352,0,0,-0.000339431
1.53,0.3665675,0,21.80857,1.440379,5.538419,0,0,-0.0003333115
1.54,0.380477,0,22.09528,1.438182,5.538486,0,0,-0.0003268916
1.55,0.3947676,0,22.38386,1.435973,5.538552,0,0,-0.0003201678
1.56,0.4094458,0,22.67431,1.433751,5.538619,0,0,-0.0003131378
1.57,0.4245179,0,22.96663,1.431517,5.538686,0,0,-0.0003057969
1.58,0.4399904,0,23.26081,1.429271,5.538753,0,0,-0.0002981417
1.59,0.45587,0,23.55686,1.427013,5.538819,0,0,-0.00029017
1.6,0.4721631,0,23.85478,1.424742,5.538886,0,0,-0.0002818771
1.61,0.4888763,0,24.15456,1.42246,5.538953,0,0,-0.0002732598
1.62,0.5060162,0,24.45621,1.420166,5.539019,0,0,-0.0002643154
1.63,0.5235896,0,24.75972,1.41786,5.539086,0,0,-0.00025504
1.64,0.5416031,0,25.0651,1.415543,5.539153,0,0,-0.0002454301
1.65,0.5600635,0,25.37234,1.413214,5.539219,0,0,-0.0002354834
1.66,0.5789775,0,25.68144,1.410874,5.539286,0,0,-0.0002251951
1.67,0.5983519,0,25.99241,1.408522,5.539352,0,0,-0.0002145626
1.68,0.6181936,0,26.30523,1.40616,5.539419,0,0,-0.0002035832
1.69,0.6385094,0,26.61992,1.403786,5.539485,0,0,-0.000192253
1.7,0.6593062,0,26.93646,1.401401,5.539552,0,0,-0.0001805681
1.71,0.680591,0,27.25487,1.399006,5.539618,0,0,-0.0001685272
1.72,0.7023708,0,27.57513,1.3966,5.539685,0,0,-0.0001561251
1.73,0.7246524,0,27.89725,1.394183,5.539752,0,0,-0.0001433594
1.74,0.747443,0,28.22122,1.391756,5.539818,0,0,-0.0001302274
1.75,0.7707496,0,28.54705,1.389318,5.539884,0,0,-0.000116725
1.76,0.7945794,0,28.87473,1.38687,5.53995,0,0,-0.0001028491
1.77,0.8189393,0,29.20427,1.384411,5.540017,0,0,-8.859808e-05
1.78,0.8438367,0,29.53566,1.381943,5.540083,0,0,-7.396654e-05
1.79,0.8692786,0,29.8689,1.379464,5.54015,0,0,-5.895341e-05
1.8,0.8952723,0,30.20399,1.376976,5.540216,0,0,-4.355424e-05
1.81,0.9218249,0,30.54093,1.374478,5.540282,0,0,-2.7766e-05
1.82,0.9489439,0,30.87972,1.371969,5.540349,0,0,-1.158691e-05
1.83,0.9766365,0,31.22036,1.369451,5.540415,0,0,4.987351e-06
1.84,1.00491,0,31.56284,1.366924,5.540481,0,0,2.195982e-05
1.85,1.033772,0,31.90717,1.364387,5.540547,0,0,3.933222e-05
1.86,1.063229,0,32.25334,1.36184,5.540614,0,0,5.710885e-05
1.87,1.093289,0,32.60136,1.359285,5.54068,0,0,7.529268e-05
1.88,1.12396,0,32.95121,1.356719,5.540746,0,0,9.388538e-05
1.89,1.155249,0,33.30291,1.354145,5.540812,0,0,0.0001128912
1.9,1.187164,0,33.65645,1.351562,5.540879,0,0,0.0001323132
1.91,1.219711,0,34.01183,1.34897,5.540945,0,0,0.0001521528
1.92,1.252899,0,34.36904,1.346369,5.541011,0,0,0.0001724146
1.93,1.286735,0,34.72808,1.343759,5.541077,0,0,0.0001931009
1.94,1.321227,0,35.08897,1.34114,5.541143,0,0,0.0002142136
1.95,1.356382,0,35.45168,1.338512,5.541209,0,0,0.0002357571
1.96,1.392208,0,35.81623,1.335876,5.541276,0,0,0.0002577337
1.97,1.428712,0,36.18261,1.333232,5.541341,0,0,0.0002801455
1.98,1.465903,0,36.55082,1.330579,5.541408,0,0,0.000302996
1.99,1.503788,0,36.92085,1.327917,5.541473,0,0,0.0003262887
2,1.542375,0,37.29271,1.325248,5.54154,0,0,0.0003538273
2.01,1.581671,0,37.66639,1.322583,5.541605,0,0,0.0004783711
2.02,1.621686,0,38.0419,1.319944,5.541672,0,0,0.000520093
2.03,1.662425,0,38.41923,1.317329,5.541738,0,0,0.0005618476
2.04,1.703897,0,38.79838,1.314738,5.541804,0,0,0.0006036227
2.05,1.74611,0,39.17934,1.312171,5.54187,0,0,0.0006454152
2.06,1.789072,0,39.56213,1.309627,5.541935,0,0,0.0006872191
2.07,1.832788,0,39.94673,1.307108,5.542001,0,0,0.0007290327
2.08,1.877268,0,40.33314,1.304611,5.542068,0,0,0.0007708517
2.09,1.922518,0,40.72137,1.302138,5.542133,0,0,0.0008126717
2.1,1.968546,0,41.11141,1.299688,5.542199,0,0,0.0008544902
2.11,2.015358,0,41.50325,1.29726,5.542265,0,0,0.0008963034
2.12,2.062962,0,41.89691,1.294855,5.542331,0,0,0.0009381069
2.13,2.111365,0,42.29237,1.292472,5.542397,0,0,0.0009798981
2.14,2.160574,0,42.68964,1.290111,5.542462,0,0,0.001021674
2.15,2.210595,0,43.08871,1.287772,5.542528,0,0,0.001063429
2.16,2.261437,0,43.48958,1.285455,5.542594,0,0,0.001105162
2.17,2.313105,0,43.89225,1.283159,5.54266,0,0,0.00114687
2.18,2.365606,0,44.29673,1.280885,5.542725,0,0,0.001188547
2.19,2.418947,0,44.703,1.278631,5.542791,0,0,0.001230193
2.2,2.473134,0,45.11106,1.276398,5.542857,0,0,0.001271803
2.21,2.528175,0,45.52092,1.274186,5.542922,0,0,0.001313373
2.22,2.584075,0,45.93258,1.271995,5.542988,0,0,0.001354902
2.23,2.640841,0,46.34602,1.269824,5.543054,0,0,0.001396386
2.24,2.698479,0,46.76126,1.267673,5.543119,0,0,0.001437821
2.25,2.756997,0,47.17828,1.265542,5.543185,0,0,0.001479205
2.26,2.816399,0,47.59709,1.26343,5.543251,0,0,0.001520536
2.27,2.876692,0,48.01769,1.261338,5.543316,0,0,0.001561809
2.28,2.937883,0,48.44007,1.259266,5.543382,0,0,0.001603022
2.29,2.999977,0,48.86423,1.257213,5.543447,0,0,0.001644173
2.3,3.062981,0,49.29018,1.255178,5.543513,0,0,0.001685258
2.31,3.1269,0,49.71791,1.253163,5.543578,0,0,0.001726274
2.32,3.19174,0,50.14741,1.251166,5.543643,0,0,0.00176722
2.33,3.257508,0,50.57869,1.249188,5.543709,0,0,0.0018081
2.34,3.324209,0,51.01175,1.247228,5.543775,0,0,0.001848997
2.35,3.391849,0,51.44659,1.245286,5.54384,0,0,0.00188981
2.36,3.460433,0,51.88319,1.243362,5.543905,0,0,0.00193054
2.37,3.529967,0,52.32157,1.241456,5.543971,0,0,0.001971185
2.38,3.600458,0,52.76171,1.239568,5.544036,0,0,0.002011744
2.39,3.671909,0,53.20363,1.237697,5.544102,0,0,0.002052212
2.4,3.744327,0,53.64731,1.235843,5.544167,0,0,0.002092588
2.41,3.817718,0,54.09276,1.234007,5.544232,0,0,0.002132869
2.42,3.892086,0,54.53997,1.232188,5.544298,0,0,0.002173051
2.43,3.967437,0,54.98895,1.230385,5.544363,0,0,0.002213134
2.44,4.043776,0,55.43968,1.228599,5.544428,0,0,0.002253115
2.45,4.121108,0,55.89217,1.22683,5.544494,0,0,0.00229299
2.46,4.199439,0,56.34642,1.225077,5.544559,0,0,0.002332758
2.47,4.278774,0,56.80243,1.22334,5.544624,0,0,0.002372417
2.48,4.359118,0,57.2602,1.22162,5.544689,0,0,0.002411963
2.49,4.440475,0,57.71972,1.219915,5.544755,0,0,0.002451396
2.5,4.522851,0,58.18098,1.218226,5.54482,0,0,0.002490712
2.51,4.606251,0,58.644,1.216553,5.544885,0,0,0.002529909
2.52,4.69068,0,59.10878,1.214895,5.54495,0,0,0.002568985
2.53,4.776143,0,59.57529,1.213253,5.545015,0,0,0.002607939
2.54,4.862643,0,60.04356,1.211626,5.54508,0,0,0.002646766
2.55,4.950187,0,60.51357,1.210014,5.545146,0,0,0.002685467
2.56,5.038779,0,60.98532,1.208417,5.54521,0,0,0.002724039
2.57,5.128423,0,61.45882,1.206834,5.545276,0,0,0.002762478
2.58,5.219124,0,61.93406,1.205267,5.545341,0,0,0.002800784
2.59,5.310887,0,62.41103,1.203713,5.545405,0,0,0.002838955
2.6,5.403717,0,62.88975,1.202175,5.545471,0,0,0.002876988
2.61,5.497617,0,63.3702,1.20065,5.545536,0,0,0.002914881
2.62,5.592593,0,63.85239,1.19914,5.5456,0,0,0.002952634
2.63,5.688648,0,64.33631,1.197643,5.545666,0,0,0.002990242
2.64,5.785788,0,64.82197,1.196161,5.545731,0,0,0.003027705
2.65,5.884015,0,65.30935,1.194692,5.545795,0,0,0.003065022
2.66,5.983336,0,65.79847,1.193237,5.54586,0,0,0.003102189
2.67,6.083754,0,66.28931,1.191795,5.545925,0,0,0.003139206
2.68,6.185272,0,66.78188,1.190366,5.54599,0,0,0.00317607
2.69,6.287897,0,67.27618,1.188951,5.546055,0,0,0.00321278
2.7,6.391631,0,67.77221,1.187549,5.54612,0,0,0.003249333
2.71,6.496478,0,68.26996,1.18616,5.546185,0,0,0.00328573
2.72,6.602443,0,68.76943,1.184784,5.546249,0,0,0.003321965
2.73,6.70953,0,69.27062,1.18342,5.546314,0,0,0.003358041
2.74,6.817743,0,69.77353,1.18207,5.546379,0,0,0.003393953
2.75,6.927086,0,70.27816,1.180731,5.546444,0,0,0.003429701
2.76,7.037562,0,70.78451,1.179405,5.546509,0,0,0.003465282
2.77,7.149176,0,71.29257,1.178092,5.546574,0,0,0.003500696
2.78,7.261931,0,71.80235,1.17679,5.546638,0,0,0.003535941
2.79,7.375832,0,72.31384,1.175501,5.546703,0,0,0.003571014
2.8,7.490881,0,72.82705,1.174223,5.546768,0,0,0.003605916
2.81,7.607084,0,73.34196,1.172958,5.546832,0,0,0.003640643
2.82,7.724443,0,73.85859,1.171704,5.546897,0,0,0.003675195
2.83,7.842962,0,74.37692,1.170461,5.546961,0,0,0.00370957
2.84,7.962645,0,74.89697,1.169231,5.547026,0,0,0.003743766
2.85,8.083495,0,75.41872,1.168011,5.547091,0,0,0.003777783
2.86,8.205516,0,75.94217,1.166803,5.547155,0,0,0.003811619
2.87,8.328712,0,76.46732,1.165606,5.54722,0,0,0.003845272
2.88,8.453085,0,76.99419,1.16442,5.547285,0,0,0.003878741
2.89,8.578641,0,77.52275,1.163245,5.547349,0,0,0.003912025
2.9,8.70538,0,78.05301,1.162081,5.547413,0,0,0.003945121
2.91,8.833309,0,78.58497,1.160928,5.547478,0,0,0.00397803
2.92,8.96243,0,79.11863,1.159786,5.547543,0,0,0.00401075
2.93,9.092745,0,79.65399,1.158654,5.547607,0,0,0.004043278
2.94,9.224259,0,80.19104,1.157532,5.547671,0,0,0.004075614
2.95,9.356975,0,80.72979,1.156421,5.547736,0,0,0.004107758
2.96,9.490895,0,81.27023,1.155321,5.5478,0,0,0.004139706
2.97,9.626024,0,81.81237,1.15423,5.547864,0,0,0.00417146
2.98,9.762364,0,82.35619,1.15315,5.547929,0,0,0.004203016
