time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad
0.63,-5.653138e-11,0,0.8668951,1.570796,5.532344,0,0,1.606037e-14
0.64,-5.811751e-11,0,0.8947335,1.570796,5.532412,0,0,-1.121137e-14
0.65,-5.972066e-11,0,0.923015,1.570796,5.53248,0,0,-1.504382e-14
0.66,-6.134097e-11,0,0.9517398,1.570796,5.532548,0,0,1.970022e-15
0.67,-6.297847e-11,0,0.9809079,1.570796,5.532617,0,0,1.213913e-14
0.68,-6.4633e-11,0,1.01052,1.570796,5.532685,0,0,4.842659e-15
0.69,-6.630439e-11,0,1.040575,1.570796,5.532753,0,0,-5.029657e-15
0.7,-6.799247e-11,0,1.071074,1.570796,5.532821,0,0,-4.190064e-15
0.71,-6.969705e-11,0,1.102018,1.570796,5.532889,0,0,2.95688e-15
0.72,-7.141797e-11,0,1.133405,1.570796,5.532957,0,0,5.548222e-15
0.73,-7.315504e-11,0,1.165236,1.570796,5.533025,0,0,1.942377e-15
0.74,-7.490808e-11,0,1.197513,1.570796,5.533093,0,0,-1.207825e-15
0.75,-7.667692e-11,0,1.230233,1.570796,5.533161,0,0,3.317868e-17
0.76,-7.846138e-11,0,1.263398,1.570796,5.533229,0,0,2.830931e-15
0.77,-8.026128e-11,0,1.297009,1.570796,5.533298,0,0,3.31962e-15
0.78,-8.207644e-11,0,1.331064,1.570796,5.533365,0,0,1.782412e-15
0.79,-8.390667e-11,0,1.365564,1.570796,5.533433,0,0,9.577157e-16
0.8,-8.575181e-11,0,1.40051,1.570796,5.533501,0,0,1.810542e-15
0.81,-8.761166e-11,0,1.435901,1.570796,5.533569,0,0,2.892262e-15
0.82,-8.948604e-11,0,1.471738,1.570796,5.533637,0,0,2.937933e-15
0.83,-9.137478e-11,0,1.50802,1.570796,5.533705,0,0,2.396949e-15
0.84,-9.327768e-11,0,1.544749,1.570796,5.533773,0,0,2.316166e-15
0.85,-9.519457e-11,0,1.581923,1.570796,5.533841,0,0,2.830732e-15
0.86,-9.712526e-11,0,1.619543,1.570796,5.533909,0,0,3.28716e-15
0.87,-9.906957e-11,0,1.65761,1.570796,5.533977,0,0,3.319549e-15
0.88,-1.010273e-10,0,1.696124,1.570796,5.534044,0,0,3.218058e-15
0.89,-1.029983e-10,0,1.735084,1.570796,5.534112,0,0,3.352574e-15
0.9,-1.049823e-10,0,1.77449,1.570796,5.53418,0,0,3.680688e-15
0.91,-1.069792e-10,0,1.814344,1.570796,5.534248,0,0,3.933404e-15
0.92,-1.089888e-10,0,1.854645,1.570796,5.534316,0,0,4.027261e-15
0.93,-1.110108e-10,0,1.895393,1.570796,5.534383,0,0,4.110185e-15
0.94,-1.130452e-10,0,1.936588,1.570796,5.534451,0,0,4.300453e-15
0.95,-1.150917e-10,0,1.978231,1.570796,5.534519,0,0,4.546717e-15
0.96,-1.171501e-10,0,2.020321,1.570796,5.534586,0,0,4.724452e-15
0.97,-1.192208e-10,0,2.06286,1.570796,5.534654,0,0,4.602494e-15
0.98,-1.21304e-10,0,2.105846,1.570796,5.534722,0,0,4.559486e-15
0.99,-1.233997e-10,0,2.14928,1.570796,5.53479,0,0,4.833151e-15
1,-1.255075e-10,0,2.193162,1.570796,5.534857,0,0,5.20902e-15
1.01,-1.276274e-10,0,2.237493,1.570796,5.534925,0,0,5.415382e-15
1.02,-1.297593e-10,0,2.282273,1.570796,5.534992,0,0,5.485948e-15
1.03,-1.319029e-10,0,2.327501,1.570796,5.53506,0,0,5.61963e-15
1.04,-1.340582e-10,0,2.373178,1.570796,5.535128,0,0,5.875453e-15
1.05,-1.362249e-10,0,2.419304,1.570796,5.535195,0,0,6.142161e-15
1.06,-1.38403e-10,0,2.465878,1.570796,5.535263,0,0,6.333702e-15
1.07,-1.405923e-10,0,2.512903,1.570796,5.53533,0,0,6.490564e-15
1.08,-1.427926e-10,0,2.560377,1.570796,5.535398,0,0,6.687972e-15
1.09,-1.450037e-10,0,2.6083,1.570796,5.535465,0,0,6.929107e-15
1.1,-1.472256e-10,0,2.656673,1.570796,5.535532,0,0,7.163985e-15
1.11,-1.494581e-10,0,2.705496,1.570796,5.5356,0,0,7.369908e-15
1.12,-1.51701e-10,0,2.754768,1.570796,5.535667,0,0,7.571671e-15
1.13,-1.539541e-10,0,2.804491,1.570796,5.535735,0,0,7.794874e-15
1.14,-1.562173e-10,0,2.854664,1.570796,5.535802,0,0,8.032999e-15
1.15,-1.584906e-10,0,2.905288,1.570796,5.53587,0,0,8.265839e-15
1.16,-1.607735e-10,0,2.956362,1.570796,5.535937,0,0,8.489638e-15
1.17,-1.630662e-10,0,3.007887,1.570796,5.536005,0,0,8.716609e-15
1.18,-1.653683e-10,0,3.059863,1.570796,5.536072,0,0,8.954224e-15
1.19,-1.676798e-10,0,3.11229,1.570796,5.536139,0,0,9.197177e-15
1.2,-1.700004e-10,0,3.165168,1.570796,5.536206,0,0,9.438154e-15
1.21,-1.7233e-10,0,3.218498,1.570796,5.536274,0,0,9.677764e-15
1.22,-1.746685e-10,0,3.272279,1.570796,5.536341,0,0,9.921259e-15
1.23,-1.770157e-10,0,3.326511,1.570796,5.536408,0,0,1.017028e-14
1.24,-1.793714e-10,0,3.381195,1.570796,5.536476,0,0,1.042187e-14
1.25,-1.817355e-10,0,3.436331,1.570796,5.536543,0,0,1.067368e-14
1.26,-1.841078e-10,0,3.49192,1.570796,5.53661,0,0,1.092676e-14
1.27,-1.864882e-10,0,3.54796,1.570796,5.536677,0,0,1.118307e-14
1.28,-1.888764e-10,0,3.604453,1.570796,5.536745,0,0,1.144268e-14
1.29,-1.912724e-10,0,3.661398,1.570796,5.536812,0,0,1.170423e-14
1.3,-1.93676e-10,0,3.718796,1.570796,5.536879,0,0,1.196706e-14
1.31,-1.960869e-10,0,3.776647,1.570796,5.536946,0,0,1.223185e-14
1.32,-1.985051e-10,0,3.83495,1.570796,5.537013,0,0,1.249926e-14
1.33,-2.009304e-10,0,3.893707,1.570796,5.53708,0,0,1.276903e-14
1.34,-2.033626e-10,0,3.952917,1.570796,5.537147,0,0,1.304062e-14
1.35,-2.058022e-10,0,4.01258,1.570796,5.537214,0,0,1.320909e-14
1.36,-2.082497e-10,0,4.072697,1.570796,5.537282,0,0,1.32598e-14
1.37,-2.10705e-10,0,4.133268,1.570796,5.537348,0,0,1.337544e-14
1.38,-2.131681e-10,0,4.194293,1.570796,5.537416,0,0,1.373137e-14
1.39,-2.156387e-10,0,4.255771,1.570796,5.537482,0,0,1.414066e-14
